,identificador,entero,real,cadena,tipo,opSuma,opMul,opRelac,opOr,opAnd,opNot,opIgualdad,;,",",(,),{,},=,if,while,return,else,$,programa,Definiciones,Definicion,DefVar,ListaVar,DefFunc,Parametros,ListaParam,BloqFunc,DefLocales,DefLocal,Sentencias,Sentencia,Otro,Bloque,ValorRegresa,Argumentos,ListaArgumentos,Termino,LlamadaFunc,SentenciaBloque,Expresion
0,,,,,d5,,,,,,,,,,,,,,,,,,,r2,1,2,3,4,,6,,,,,,,,,,,,,,,,
1,,,,,,,,,,,,,,,,,,,,,,,,r0,,,,,,,,,,,,,,,,,,,,,,
2,,,,,,,,,,,,,,,,,,,,,,,,r1,,,,,,,,,,,,,,,,,,,,,,
3,,,,,d5,,,,,,,,,,,,,,,,,,,r2,,7,3,4,,6,,,,,,,,,,,,,,,,
4,,,,,r4,,,,,,,,,,,,,,,,,,,r4,,,,,,,,,,,,,,,,,,,,,,
5,d8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,,,,,r5,,,,,,,,,,,,,,,,,,,r5,,,,,,,,,,,,,,,,,,,,,,
7,,,,,,,,,,,,,,,,,,,,,,,,r3,,,,,,,,,,,,,,,,,,,,,,
8,,,,,,,,,,,,,r7,d10,d11,,,,,,,,,,,,,,9,,,,,,,,,,,,,,,,,
9,,,,,,,,,,,,,d12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,d13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,,,,,d15,,,,,,,,,,,r10,,,,,,,,,,,,,,,14,,,,,,,,,,,,,,,
12,r6,,,,r6,,,,,,,,,,,,,r6,,r6,r6,r6,,r6,,,,,,,,,,,,,,,,,,,,,,
13,,,,,,,,,,,,,r7,d10,,,,,,,,,,,,,,,16,,,,,,,,,,,,,,,,,
14,,,,,,,,,,,,,,,,d17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,d18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,,,,,,,,,,,,,r8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,,,,,,,,,,,,,,,,,d20,,,,,,,,,,,,,,,,19,,,,,,,,,,,,,
18,,,,,,,,,,,,,,d22,,r12,,,,,,,,,,,,,,,,21,,,,,,,,,,,,,,
19,,,,,r9,,,,,,,,,,,,,,,,,,,r9,,,,,,,,,,,,,,,,,,,,,,
20,d27,,,,d5,,,,,,,,,,,,,r15,,d28,d29,d30,,,,,,25,,,,,,23,24,,26,,,,,,,31,,
21,,,,,,,,,,,,,,,,r11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,,,,,d32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,,,,,,,,,,,,,,,,,,d33,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,d27,,,,d5,,,,,,,,,,,,,r15,,d28,d29,d30,,,,,,25,,,,,,34,24,,26,,,,,,,31,,
25,r17,,,,r17,,,,,,,,,,,,,r17,,r17,r17,r17,,,,,,,,,,,,,,,,,,,,,,,,
26,r18,,,,r18,,,,,,,,,,,,,r18,,r18,r18,r18,,,,,,,,,,,,,,,,,,,,,,,,
27,,,,,,,,,,,,,,,d36,,,,d35,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,,,,,,,,,,,,,,,d37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,,,,,,,,,,,,,,,d38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,d46,d47,d48,d49,,d42,,,,,d43,,r29,,d41,,,,,,,,,,,,,,,,,,,,,,,,,39,,,44,45,,40
31,,,,,,,,,,,,,d50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,d51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,,,,,r14,,,,,,,,,,,,,,,,,,,r14,,,,,,,,,,,,,,,,,,,,,,
34,,,,,,,,,,,,,,,,,,r16,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,d46,d47,d48,d49,,d42,,,,,d43,,,,d41,,,,,,,,,,,,,,,,,,,,,,,,,,,,44,45,,52
36,d46,d47,d48,d49,,d42,,,,,d43,,,,d41,r31,,,,,,,,,,,,,,,,,,,,,,,,,53,,44,45,,54
37,d46,d47,d48,d49,,d42,,,,,d43,,,,d41,,,,,,,,,,,,,,,,,,,,,,,,,,,,44,45,,55
38,d46,d47,d48,d49,,d42,,,,,d43,,,,d41,,,,,,,,,,,,,,,,,,,,,,,,,,,,44,45,,56
39,,,,,,,,,,,,,d57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,,,,,,d59,d58,d60,d63,d62,,d61,r30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,d46,d47,d48,d49,,d42,,,,,d43,,,,d41,,,,,,,,,,,,,,,,,,,,,,,,,,,,44,45,,64
42,d46,d47,d48,d49,,d42,,,,,d43,,,,d41,,,,,,,,,,,,,,,,,,,,,,,,,,,,44,45,,65
43,d46,d47,d48,d49,,d42,,,,,d43,,,,d41,,,,,,,,,,,,,,,,,,,,,,,,,,,,44,45,,66
44,,,,,,r52,r52,r52,r52,r52,,r52,r52,r52,,r52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,,,,,,r35,r35,r35,r35,r35,,r35,r35,r35,,r35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,,,,,,r36,r36,r36,r36,r36,,r36,r36,r36,d36,r36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,,,,,,r37,r37,r37,r37,r37,,r37,r37,r37,,r37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,,,,,,r38,r38,r38,r38,r38,,r38,r38,r38,,r38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,,,,,,r39,r39,r39,r39,r39,,r39,r39,r39,,r39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,r25,,,,r25,,,,,,,,,,,,,r25,,r25,r25,r25,r25,,,,,,,,,,,,,,,,,,,,,,,
51,,,,,,,,,,,,,,d22,,r12,,,,,,,,,,,,,,,,67,,,,,,,,,,,,,,
52,,,,,,d59,d58,d60,d63,d62,,d61,d68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,,,,,,,,,,,,,,,,d69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,,,,,,d59,d58,d60,d63,d62,,d61,,d71,,r33,,,,,,,,,,,,,,,,,,,,,,,,,,70,,,,
55,,,,,,d59,d58,d60,d63,d62,,d61,,,,d72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,,,,,,d59,d58,d60,d63,d62,,d61,,,,d73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,r24,,,,r24,,,,,,,,,,,,,r24,,r24,r24,r24,r24,,,,,,,,,,,,,,,,,,,,,,,
58,d46,d47,d48,d49,,d42,,,,,d43,,,,d41,,,,,,,,,,,,,,,,,,,,,,,,,,,,44,45,,74
59,d46,d47,d48,d49,,d42,,,,,d43,,,,d41,,,,,,,,,,,,,,,,,,,,,,,,,,,,44,45,,75
60,d46,d47,d48,d49,,d42,,,,,d43,,,,d41,,,,,,,,,,,,,,,,,,,,,,,,,,,,44,45,,76
61,d46,d47,d48,d49,,d42,,,,,d43,,,,d41,,,,,,,,,,,,,,,,,,,,,,,,,,,,44,45,,77
62,d46,d47,d48,d49,,d42,,,,,d43,,,,d41,,,,,,,,,,,,,,,,,,,,,,,,,,,,44,45,,78
63,d46,d47,d48,d49,,d42,,,,,d43,,,,d41,,,,,,,,,,,,,,,,,,,,,,,,,,,,44,45,,79
64,,,,,,d59,d58,d60,d63,d62,,d61,,,,d80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,,,,,,r44,r44,r44,r44,r44,,r44,r44,r44,,r44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,,,,,,r45,r45,r45,r45,r45,,r45,r45,r45,,r45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,,,,,,,,,,,,,,,,r13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,r21,,,,r21,,,,,,,,,,,,,r21,,r21,r21,r21,r21,,,,,,,,,,,,,,,,,,,,,,,
69,,,,,,r40,r40,r40,r40,r40,,r40,r40,r40,,r40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,,,,,,,,,,,,,,,,r32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,d46,d47,d48,d49,,d42,,,,,d43,,,,d41,,,,,,,,,,,,,,,,,,,,,,,,,,,,44,45,,81
72,d27,,,,,,,,,,,,,,,,d85,,,d28,d29,d30,,,,,,,,,,,,,,,83,,84,,,,,31,82,
73,,,,,,,,,,,,,,,,,d85,,,,,,,,,,,,,,,,,,,,,,86,,,,,,,
74,,,,,,r46,r46,r46,r46,r46,,r46,r46,r46,,r46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,,,,,,r47,d58,r47,r47,r47,,r47,r47,r47,,r47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,,,,,,d59,d58,r48,r48,r48,,r48,r48,r48,,r48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,,,,,,d59,d58,d60,r49,r49,,r49,r49,r49,,r49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,,,,,,d59,d58,d60,r50,r50,,d61,r50,r50,,r50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,,,,,,d59,d58,d60,r51,d62,,d61,r51,r51,,r51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,,,,,,r43,r43,r43,r43,r43,,r43,r43,r43,,r43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,,,,,,d59,d58,d60,d63,d62,,d61,,d71,,r33,,,,,,,,,,,,,,,,,,,,,,,,,,87,,,,
82,r26,,,,r26,,,,,,,,,,,,,r26,,r26,r26,r26,d89,,,,,,,,,,,,,,,88,,,,,,,,
83,r41,,,,r41,,,,,,,,,,,,,r41,,r41,r41,r41,r41,,,,,,,,,,,,,,,,,,,,,,,
84,r42,,,,r42,,,,,,,,,,,,,r42,,r42,r42,r42,r42,,,,,,,,,,,,,,,,,,,,,,,
85,d27,,,,,,,,,,,,,,,,,r19,,d28,d29,d30,,,,,,,,,,,,,,90,91,,,,,,,31,,
86,r23,,,,r23,,,,,,,,,,,,,r23,,r23,r23,r23,r23,,,,,,,,,,,,,,,,,,,,,,,
87,,,,,,,,,,,,,,,,r34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88,r22,,,,r22,,,,,,,,,,,,,r22,,r22,r22,r22,r22,,,,,,,,,,,,,,,,,,,,,,,
89,d27,,,,,,,,,,,,,,,,d85,,,d28,d29,d30,,,,,,,,,,,,,,,83,,84,,,,,31,92,
90,,,,,,,,,,,,,,,,,,d93,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91,d27,,,,,,,,,,,,,,,,,r19,,d28,d29,d30,,,,,,,,,,,,,,94,91,,,,,,,31,,
92,r27,,,,r27,,,,,,,,,,,,,r27,,r27,r27,r27,,,,,,,,,,,,,,,,,,,,,,,,
93,r28,,,,r28,,,,,,,,,,,,,r28,,r28,r28,r28,r28,,,,,,,,,,,,,,,,,,,,,,,
94,,,,,,,,,,,,,,,,,,r20,,,,,,,,,,,,,,,,,,,,,,,,,,,,
